name,trace,lat,lng,country_id
Necochea,Necochea,-38.56,-58.75,32
Buenos Aires,Buenos Aires,-34.6025,-58.3975,32
Villa Carlos Paz,Villa Carlos Paz,-31.42,-64.5,32
Paraná,Parana,-31.7333,-60.5333,32
Pago Pago,Pago Pago,-14.274,-170.7046,16
Bregenz,Bregenz,47.5167,9.7667,40
Salzburg,Salzburg,47.8105,13.04,40
Eisenstadt,Eisenstadt,47.8333,16.5333,40
Innsbruck,Innsbruck,47.2804,11.41,40
Sankt Pölten,Sankt Polten,48.2,15.6333,40
Graz,Graz,47.0778,15.41,40
Linz,Linz,48.3192,14.2888,40
Vienna,Vienna,48.2,16.3666,40
Wiener Neustadt,Wiener Neustadt,47.816,16.25,40
Klagenfurt,Klagenfurt,46.6203,14.31,40
Port Denison,Port Denison,-29.2828,114.9166,36
Kwinana,Kwinana,-32.2394,115.7702,36
Kingoonya,Kingoonya,-30.8996,135.3,36
Port Hedland,Port Hedland,-20.3104,118.606,36
Port Lincoln,Port Lincoln,-34.7332,135.8666,36
Port Macquarie,Port Macquarie,-31.445,152.9187,36
Cranbourne,Cranbourne,-38.0996,145.2834,36
Portland,Portland,-38.34,141.59,36
Proserpine,Proserpine,-20.4162,148.5835,36
Busselton,Busselton,-33.6564,115.3487,36
Byron Bay,Byron Bay,-28.6565,153.6129,36
Caboolture,Caboolture,-27.083,152.95,36
Cooma,Cooma,-36.2396,149.12,36
Cairns,Cairns,-16.8878,145.7633,36
Sunbury,Sunbury,-37.5696,144.71,36
Sydney,Sydney,-33.92,151.1852,36
Karumba,Karumba,-17.4833,140.8334,36
Esperance,Esperance,-33.8573,121.8889,36
Exmouth,Exmouth,-21.9311,114.1233,36
Forbes,Forbes,-33.3896,148.02,36
Morawa,Morawa,-29.2163,116,36
Moree,Moree,-29.4699,149.8301,36
Katherine,Katherine,-14.4666,132.2666,36
Katoomba,Katoomba,-33.7069,150.32,36
Launceston,Launceston,-41.4498,147.1302,36
Laverton,Laverton,-28.627,122.404,36
Leeton,Leeton,-34.5449,146.3973,36
Leonara,Leonara,-28.8815,121.328,36
Seymour,Seymour,-37.0342,145.1273,36
Singleton,Singleton,-32.5695,151.16,36
Newcastle,Newcastle,-32.8453,151.815,36
Norseman,Norseman,-32.2,121.7666,36
Batemans Bay,Batemans Bay,-35.6896,150.2073,36
Bathurst,Bathurst,-33.4196,149.57,36
Griffith,Griffith,-34.29,146.04,36
Whyalla,Whyalla,-33.025,137.5614,36
Wilcannia,Wilcannia,-31.5662,143.3833,36
Katanning,Katanning,-33.6996,117.5501,36
Bongaree,Bongaree,-27.0787,153.1509,36
Bordertown,Bordertown,-36.3162,140.7666,36
Boulia,Boulia,-22.8996,139.9,36
Bourke,Bourke,-30.1,145.9333,36
Mackay,Mackay,-21.1439,149.15,36
Southern Cross,Southern Cross,-31.2161,119.3167,36
Tweed Heads,Tweed Heads,-28.1826,153.5466,36
Ulladulla,Ulladulla,-35.3495,150.47,36
Port Pirie,Port Pirie,-33.1911,137.99,36
Andamooka,Andamooka,-30.431,137.1656,36
Hervey Bay,Hervey Bay,-25.2887,152.8409,36
Gunnedah,Gunnedah,-30.987,150.2623,36
Gympie,Gympie,-26.1886,152.6709,36
Halls Creek,Halls Creek,-18.2667,127.7667,36
Hamilton,Hamilton,-37.7312,142.0234,36
Streaky Bay,Streaky Bay,-32.8119,134.2149,36
Mudgee,Mudgee,-32.5896,149.5801,36
Ivanhoe,Ivanhoe,-32.8996,144.3,36
Pannawonica,Pannawonica,-21.6366,116.325,36
Dubbo,Dubbo,-32.26,148.5973,36
Tom Price,Tom Price,-22.6935,117.7931,36
Parkes,Parkes,-33.1296,148.17,36
Sale,Sale,-38.1096,147.06,36
Bendigo,Bendigo,-36.76,144.28,36
Berri,Berri,-34.2829,140.6,36
Adelaide,Adelaide,-34.935,138.6,36
Adelaide River,Adelaide River,-13.2495,131.1,36
Albany,Albany,-35.0169,117.8916,36
Burketown,Burketown,-17.7161,139.5666,36
Burnie,Burnie,-41.0666,145.9167,36
Penola,Penola,-37.383,140.8167,36
Perth,Perth,-31.955,115.84,36
Peterborough,Peterborough,-32.9662,138.8333,36
Scone,Scone,-32.0796,150.8501,36
Scottsdale,Scottsdale,-41.1495,147.5167,36
Narrabri,Narrabri,-30.3319,149.7874,36
Narrogin,Narrogin,-32.9329,117.1666,36
Townsville,Townsville,-19.25,146.77,36
Traralgon,Traralgon,-38.1996,146.53,36
Central Coast,Central Coast,-33.42,151.3,36
Broome,Broome,-17.9618,122.2308,36
Bunbury,Bunbury,-33.3443,115.6502,36
Wyndham,Wyndham,-15.374,128.3601,36
